Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
0,Dia menuangkan jus jeruk ke sereal.,Dia menuangkan susu ke sereal.,Jus jeruk rasanya tidak enak saat sereal.,Jus jeruk dituangkan dalam gelas.,Jus jeruk rasanya tidak enak saat sereal.,Jus jeruk biasanya berwarna oranye terang.,Jus jeruk lengket jika Anda menumpahkannya di atas meja.
1,Dia minum apel.,Dia minum susu.,Apple tidak bisa mabuk,Sebuah apel adalah makanan utuh dan tidak bisa diminum tanpa dijus.,Dia makan apel,Jus apel sangat lezat dan susu juga,Apple tidak bisa makan manusia
2,Jeff berlari 100.000 mil hari ini,Jeff berlari satu mil hari ini,100.000 mil adalah jalan panjang untuk satu orang untuk dapat berlari dalam satu hari.,Ini secara fisik tidak mungkin untuk dicapai,Tidak mungkin seseorang dapat berlari 100.000 mil dalam sehari,Jeff adalah nama empat huruf dan 100.000 memiliki enam intis numerik,100.000 mil lebih panjang dari 100.000 km.
3,Saya menyengat nyamuk,Seekor nyamuk menyengat saya,Manusia tidak memiliki sengatan,Saya tidak punya penyengat.,"nyamuk menyengat orang, bukan sebaliknya",Manusia adalah mamalia,Manusia itu omnivora
6,Saya suka naik cokelat,Saya suka mengendarai sepeda saya,"Cokelat adalah makanan, bukan unit transportasi","Kamu makan cokelat, jangan naik itu",tidak bisa naik cokelat,Cokelat lezat dan sepeda tidak,Sepeda saya tidak bisa naik cokelat
8,dia memasukkan gajah ke dalam kendi,dia menuangkan air ke dalam kendi,kendi sangat kecil dari gajah,Seekor gajah tidak akan masuk ke dalam kendi - mereka terlalu besar,Kendi akan pecah karena beban.,gajah adalah binatang dan kendi adalah benda,kendi digunakan untuk menyimpan barang
9,Seekor anjing memainkan bola voli,Seorang gadis memainkan bola voli,Hanya manusia yang bermain voli,Anjing biasanya tidak bermain voli.,Hanya orang yang bisa bermain bola voli.,Anjing bukan hewan liar,Manusia mempercayai anjing
10,Telur makan kis pada Paskah.,Anak-anak menemukan telur pada Paskah.,Tidak ada telur makan anak-anak.,Telur tidak memakan apa pun kapan saja,Anak-anak makan telur pada Paskah.,Paskah memiliki banyak telur.,Telur dibuat untuk paskah.
11,Mark meminum buku catatan.,Mark minum air.,Notebook adalah benda padat dan menurut definisi seseorang hanya dapat minum cairan.,Anda tidak bisa minum kertas.,"NOTEBOOK ADALAH OBYEK INI BUKAN MINUMAN, TIDAK BISA MINUMAN",Notebook itu berwarna kuning dan Mark tidak minum apa pun yang berwarna kuning.,Notebook berharga $ 50
12,Dia pergi ke kantor polisi untuk menarik uang tunai.,Dia pergi ke bank untuk menarik uang tunai.,Kantor polisi adalah tempat untuk mengajukan pengaduan pidana.,Anda tidak bisa mendapatkan uang tunai di kantor polisi.,Uang tunai tidak tersedia di kantor polisi,Polisi menangkap pencuri sementara uang bisa membelikanmu barang.,Kantor polisi memiliki penjara tetapi tidak ada uang untuk diberikan.
