,qID,sentence,option1,option2,label
0,3CESM1J3EKH9XVP8YOWOQ1FHRXB6WZ-2,"John tidak bisa melihat ikan di tangki, tetapi jelas melihat ikan di akuarium, karena air di _ itu bersih.",tangki,akuarium,2
1,3J06WJ78HPYHXW449MZ0GRC21HZVV4-1,Dia menyukai kulit pohon maple dan bukan pohon pinus karena _ itu kasar.,pohon pinus,pohon maple,1
2,3U74KRR67OZPCZR620DU5SU3GNHTNP-1,"Lindsey meminta nasihat Megan tentang cara sopan berkata tidak pada  pria yang mengajaknya kencan, karena _ tidak ingin menyakiti perasaannya.",Lindsey,Megan,1
3,3VIVIU06FKAEREROCPNQM8FM769MIN-1,Monica adalah seorang pegulat profesional tetapi Cynthia bukan karena _ disiplin pergi ke gym.,Monica,Cynthia,1
4,3CIS7GGG67X0I6TI960LK1MWLVOUE1-2,"Ryan menabrak kelinci percobaan Ian dengan mobilnya, menyebabkan _ merasa sangat sakit hati.",Ryan,Ian,2
5,3538U0YQ1H88PQGVPXOQFAHWKZL3FI-1,"Victoria tidak tahu bagaimana memotivasi Lindsey untuk berolahraga setiap hari, tetapi _ tahu dia akan membuat rencana.",Victoria,Lindsey,1
6,3UEDKCTP9X416V9WSKID84LHXXOK76-1,Victoria lebih modis daripada Elena tetapi _ selalu khawatir meninggalkan ketombe di bajunya.,Victoria,Elena,1
7,33QQ60S6AUW1RGEO1Z16ZCKTSIS0UE-2,Jim senang menukar mejaku dengan komputernya. Dia merasa _nya akan bekerja dengan buruk.,meja,komputer,2
8,35YHTYFL1IHS1ZIE97UWY59FBFGFVL-1,"Meskipun Samuel lebih menyukai sepatu kets daripada Robert, _ mengabaikan sepasang sepatu Converse yang bagus itu.",Samuel,Robert,1
9,3LOJFQ4BOZTHN4A6JXLZ8WVEK9ZDK5-1,"Sarah mengambil kelas pidato Mary; ketika dia lulus ujian akhir, _ merayakannya dengan es krim.",Sarah,Mary,1
10,368IUKXGA564JXT0246T69JC83I6P9-1,Memasang kulkas jauh lebih mudah daripada memasang kompor bagi Roger. Dia sebelumnya telah memasang _ sebelumnya di rumah yang berbeda.,kulkas,kompor,1
11,3NCN4N1H1IVPGDXP2EM95YOIBOFNBA-1,"Terorisme menjadi perhatian di pedesaan, tetapi hampir tidak menjadi masalah di kota, karena _ memiliki banyak konflik di antara orang-orang.",pedesaan,kota,1
12,378G7J1SJNCDAAIN46FM2P7T6B0EWL-2,"Brian suka membersihkan dengan cuka tetapi Kenneth membenci baunya, jadi _ harus terbiasa dengannya.",Brian,Kenneth,2
13,3TC2K6WK9G0VV4BITLSFUA7A3MG280-2,Tukang cukur mencoba menggunakan bahan kimia untuk menghilangkan bau dari rambut pria itu tetapi _ itu terlalu lemah.,bau,bahan kimia,2
14,3LOJFQ4BOXD2TFBZZZ9ZGY75VFRDKZ-2,Ben harus membuat jus wortel dan jus apel. Semua orang menyukai _ karena rasanya yang tidak biasa.,jus apel,jus wortel,2
15,3ACRLU860NC6SIL5PH7QND603EIEB1-2,"Ketika membuka tentang naksir mereka, Kenneth menghela nafas pada Jeffrey karena _ lupa siapa naksir mereka.",Kenneth,Jeffrey,2
16,3IWA71V4TKUOMVUY8TSASKTOZWR6XV-1,Patricia memilih kultivar yang kuat untuk tumbuh tidak seperti Tanya karena _ memiliki tanah yang sangat berbatu.,Patricia,Tanya,1
17,3D17ECOUOET25MNGY0X5YAPUVXF131-1,Krim bekerja lebih baik untuk Benjamin daripada untuk Kenneth karena _ lebih baik dalam menerapkannya secara teratur.,Benjamin,Kenneth,1
18,35XW21VSVGCJFACZHPGPQX6KLGNSLO-1,Pengadilan negara suka menyimpan catatan penting mereka secara elektronik. _ sangat vital.,catatan,pengadilan,1
19,38Z7YZ2SB5GK6IONOG67VFN0CNPIQ1-1,John merawat pot sementara itu diangkut dalam kotak namun pada akhirnya patah. _ rapuh.,pot,kotak,1
20,34F34TZU7YDZ9A684N16BY4X9YM2J9-1,"Nongkrong di pesta yang ada minuman bir dan sodanya, saya ingin mabuk jadi saya mengambil _ dari pendingin.",bir,soda,1
21,3M67TQBQQHMKECPWBSR80OLJU4MA97-2,Kucing itu lebih menyukai Kayla daripada Laura karena _ sering memberikan susu basi pada kucing itu.,Kayla,Laura,2
22,3D3B8GE892PR1GVY0B95QJAETPU9PS-2,Kenneth dapat menghasilkan dolarnya lebih jauh daripada Ian karena _ tidak pernah belajar bagaimana caranya menjadi sangat murah.,Kenneth,Ian,2
23,3UEDKCTP9X416V9WSKID84LHXNJ7K4-1,Saya pergi ke tambang untuk mencari berlian tetapi yang saya temukan hanyalah kuarsa dan topas. Saya memutuskan _ karena bersinar kuning.,topas,kuarsa,1
24,3LAZVA75NIPYGWYY02HBRWXADAS2O8-2,"Kemarilah dan lihat kulit kepala saya hari ini, Natalie memberi tahu Katrina. _ benci memberikan pendapatnya.",Natalie,Katrina,2
25,385MDVINFETLLQ4FI7QDZ5KLBPRWJV-1,"Kamar tidurnya harus memiliki meja berlemari diganti dengan kabinet baru, karena _ terlalu penuh untuk semua pakaian baru.",meja berlemari,kabinet,1
26,37PGLWGSJT4J1QRLRDAA7VNINIGIKJ-1,"Kenny ingin menikahi Paulie di katedral tetapi Paulie takut tempat yang besar, sehingga upacara pernikahan mereka berlangsung di sebuah gua karena _ sangat luas.",katedral,gua,1
27,3BC9H1KCYUAWMQ07K9FGHUB108VWY7-2,Jan menuangkan seluruh cangkir jus lemon ke dalam mangkuk pisang sampai _nya penuh.,cangkir,mangkuk,2
28,3UQVX1UPFSFDDF6FYHF01V1SF7V02Z-2,"Gmail sangat ketinggalan, pikir Samantha saat Jennifer membicraakannya, _ tidak tahu tren baru.",Samantha,Jennifer,2
29,3L2OEKSTWBO0QE3W64BAVCWO74EY8W-2,"Ketika dia masih balita, saudara laki-laki saya selalu memetik jeruk dari salad buah dan hanya makan stroberi karena _ itu manis.",jeruk,stroberi,2
30,36FFXPMST9M2VM1GJNKIE03C7D6OHH-1,"Neil membawa kacang ke pesta sedangkan Justin membawa balon, _ tidak menyadari alergi makanan.",Neil,Justin,1
31,3BCRDCM0OF8I2VVR9ADL2QLM3QAK6O-2,"Telinganya ditindik Sabtu lalu dengan pelubang, bukannya alat pemotong, karena _nya kotor.",pelubang,alat pemotong,2
32,37OPIVELUWHSN76MT2R0537F69GHAM-1,"Billy tahu ular lego-nya lapar, tetapi tidak tahu apakah itu akan memakan tikus, karena _ itu tidak hidup.",ular,tikus,1
33,3TL87MO8CMNAB57DB5GQJYN5RBKLFQ-1,"Robert tidak sabar menunggu pohon pir itu berbuah, meskipun Jeffrey kurang bersemangat. _ selalu menyukai buah pir.",Robert,Jeffrey,1
34,3TLFH2L6Y9METO36WJ3AL63XCGGT2O-1,Eric berpikir pakaian itu terlihat sangat bagus tetapi Kevin tidak setuju. _ membeli pakaian itu.,Eric,Kevin,1
35,3D5G8J4N5A2NQF18KTNLNB089IUVTR-2,"Kuda itu berlari melewati Rebecca dan mendekati Christine, karena _ memiliki gula batu di sakunya.",Rebecca,Christine,2
36,34OWYT6U3WFZKU8UNGJLHM92CO4I9P-1,"Mobil mewah Bill yang baru tidak muat di garasi lamanya, _nya terlalu sempit.",garasi,mobil,1
37,3D3B8GE892PR1GVY0B95QJAETLY9PO-2,Mudah bagi Joel tetapi tidak bagi Kevin untuk bersenang-senang dalam perjalanan berkemah karena _ belum belajar bagaimana menikmati alam bebas.,Joel,Kevin,2
38,3BDORL6HKKBEBRIGPNNLX4B156LRCG-2,"Wanita itu membelokkan sepedanya untuk menghindari kereta bayi, tetapi menabrak dinding. _nya tidak rusak.",sepeda,kereta bayi,2
39,3BVS8WK9Q0TI8NNRL0XH8S4S0SQIBQ-2,"Sambil berdiskusi tentang apa yang harus dibuat untuk makan malam, Leslie menyarankan untuk membuat nasi; Joseph lebih suka pasta. _ setuju untuk membuat nasi sebagai gantinya.",Leslie,Joseph,2
40,3BO3NEOQM0FDPDIZFMXLDHKMI6MAIW-1,Putra Pak Tani melihat sebuah lubang di pagar kayu jadi dia mencoba memukul bola golf melaluinya; dia tidak menyadari bahwa _ itu terlalu besar.,bola,lubang,1
